0 0 0
0.05 0 0.0487497
0.1 0 0.0949958
0.15 0 0.138729
0.2 0 0.179933
0.25 0 0.218586
0.3 0 0.254659
0.35 0 0.288117
0.4 0 0.318916
0.45 0 0.347006
0.5 0 0.372329
0.55 0 0.394818
0.6 0 0.414398
0.65 0 0.430984
0.7 0 0.44448
0.75 0 0.45478
0.8 0 0.461765
0.85 0 0.465304
0.9 0 0.46525
0.95 0 0.461441
1 0 0.453698

0 0.05 0.0487503
0.05 0.05 0.100001
0.1 0.05 0.147502
0.15 0.05 0.1925
0.2 0.05 0.234983
0.25 0.05 0.274935
0.3 0.05 0.312331
0.35 0.05 0.347141
0.4 0.05 0.379327
0.45 0.05 0.408845
0.5 0.05 0.435644
0.55 0.05 0.459663
0.6 0.05 0.480834
0.65 0.05 0.499079
0.7 0.05 0.514312
0.75 0.05 0.526435
0.8 0.05 0.535341
0.85 0.05 0.540907
0.9 0.05 0.543001
0.95 0.05 0.541473
1 0.05 0.548176

0 0.1 0.097463
0.05 0.1 0.149965
0.1 0.1 0.199978
0.15 0.1 0.246228
0.2 0.1 0.289972
0.25 0.1 0.331196
0.3 0.1 0.369882
0.35 0.1 0.406004
0.4 0.1 0.43953
0.45 0.1 0.470422
0.5 0.1 0.498632
0.55 0.1 0.524107
0.6 0.1 0.546785
0.65 0.1 0.566595
0.7 0.1 0.583458
0.75 0.1 0.597285
0.8 0.1 0.607976
0.85 0.1 0.615419
0.9 0.1 0.619492
0.95 0.1 0.632193
1 0.1 0.636216

0 0.15 0.146162
0.05 0.15 0.199919
0.1 0.15 0.251154
0.15 0.15 0.299922
0.2 0.15 0.344909
0.25 0.15 0.387384
0.3 0.15 0.427331
0.35 0.15 0.464729
0.4 0.15 0.499552
0.45 0.15 0.531765
0.5 0.15 0.561328
0.55 0.15 0.588191
0.6 0.15 0.612299
0.65 0.15 0.633586
0.7 0.15 0.651981
0.75 0.15 0.6674
0.8 0.15 0.679751
0.85 0.15 0.688932
